driver_id,pool_location,driver_rating
DRV-BB-00001,Pool Kelapa Gading,4.93
DRV-BB-00002,Pool Puri,4.8
DRV-BB-00003,Pool Puri,4.72
DRV-BB-00004,Pool Ciputat,4.76
DRV-BB-00005,Pool Ciputat,4.87
DRV-BB-00006,Pool BSD,4.65
DRV-BB-00007,Pool Kelapa Gading,4.77
DRV-BB-00008,Pool Kelapa Gading,4.72
DRV-BB-00009,Pool Ciputat,4.76
DRV-BB-00010,Pool Mampang,4.61
DRV-BB-00011,Pool Kramat Jati,4.75
DRV-BB-00012,Pool Puri,4.86
DRV-BB-00013,Pool Mampang,4.84
DRV-BB-00014,Pool Kelapa Gading,4.66
DRV-BB-00015,Pool Puri,4.82
DRV-BB-00016,Pool Kramat Jati,4.75
DRV-BB-00017,Pool Kramat Jati,4.63
DRV-BB-00018,Pool Kramat Jati,4.87
DRV-BB-00019,Pool Kelapa Gading,4.68
DRV-BB-00020,Pool Puri,4.9
DRV-BB-00021,Pool Ciputat,4.6
DRV-BB-00022,Pool Kelapa Gading,4.77
DRV-BB-00023,Pool Mampang,4.86
DRV-BB-00024,Pool Mampang,4.78
DRV-BB-00025,Pool Halim,4.91
DRV-BB-00026,Pool Kramat Jati,4.61
DRV-BB-00027,Pool Ciputat,4.61
DRV-BB-00028,Pool Ciputat,4.68
DRV-BB-00029,Pool BSD,4.95
DRV-BB-00030,Pool Kramat Jati,4.64
DRV-BB-00031,Pool Kelapa Gading,4.92
DRV-BB-00032,Pool Puri,4.77
DRV-BB-00033,Pool BSD,4.89
DRV-BB-00034,Pool Mampang,4.83
DRV-BB-00035,Pool Kramat Jati,4.67
DRV-BB-00036,Pool Kelapa Gading,4.76
DRV-BB-00037,Pool Puri,4.93
DRV-BB-00038,Pool Kelapa Gading,4.79
DRV-BB-00039,Pool BSD,4.85
DRV-BB-00040,Pool Kelapa Gading,4.68
DRV-BB-00041,Pool Kramat Jati,4.62
DRV-BB-00042,Pool Kelapa Gading,4.82
DRV-BB-00043,Pool Kramat Jati,4.77
DRV-BB-00044,Pool Puri,4.83
DRV-BB-00045,Pool Halim,4.87
DRV-BB-00046,Pool Kramat Jati,4.75
DRV-BB-00047,Pool Puri,4.78
DRV-BB-00048,Pool Kelapa Gading,4.69
DRV-BB-00049,Pool Ciputat,4.81
DRV-BB-00050,Pool Halim,4.95
DRV-BB-00051,Pool Kramat Jati,4.8
DRV-BB-00052,Pool Kramat Jati,4.89
DRV-BB-00053,Pool BSD,4.69
DRV-BB-00054,Pool Kelapa Gading,4.62
DRV-BB-00055,Pool Puri,4.86
DRV-BB-00056,Pool Kramat Jati,4.73
DRV-BB-00057,Pool Kelapa Gading,4.75
DRV-BB-00058,Pool Mampang,4.9
DRV-BB-00059,Pool Kelapa Gading,4.79
DRV-BB-00060,Pool Ciputat,4.61
DRV-BB-00061,Pool BSD,4.93
DRV-BB-00062,Pool Kelapa Gading,4.81
DRV-BB-00063,Pool Halim,4.86
DRV-BB-00064,Pool Kelapa Gading,4.93
DRV-BB-00065,Pool Halim,4.97
DRV-BB-00066,Pool Ciputat,4.69
DRV-BB-00067,Pool Ciputat,4.81
DRV-BB-00068,Pool Kramat Jati,4.76
DRV-BB-00069,Pool BSD,4.96
DRV-BB-00070,Pool Puri,4.66
DRV-BB-00071,Pool Halim,4.79
DRV-BB-00072,Pool Ciputat,4.85
DRV-BB-00073,Pool Halim,4.82
DRV-BB-00074,Pool Ciputat,4.84
DRV-BB-00075,Pool BSD,4.71
DRV-BB-00076,Pool Ciputat,4.64
DRV-BB-00077,Pool BSD,4.97
DRV-BB-00078,Pool Ciputat,4.93
DRV-BB-00079,Pool Ciputat,4.73
DRV-BB-00080,Pool Halim,4.76
DRV-BB-00081,Pool Mampang,4.97
DRV-BB-00082,Pool Kelapa Gading,4.69
DRV-BB-00083,Pool Halim,4.69
DRV-BB-00084,Pool Kelapa Gading,4.72
DRV-BB-00085,Pool Kramat Jati,4.78
DRV-BB-00086,Pool Kelapa Gading,4.83
DRV-BB-00087,Pool Kramat Jati,4.97
DRV-BB-00088,Pool Ciputat,4.73
DRV-BB-00089,Pool Mampang,4.63
DRV-BB-00090,Pool Halim,4.96
DRV-BB-00091,Pool Ciputat,4.91
DRV-BB-00092,Pool Puri,4.92
DRV-BB-00093,Pool Kelapa Gading,4.62
DRV-BB-00094,Pool Ciputat,4.88
DRV-BB-00095,Pool Puri,4.7
DRV-BB-00096,Pool Kramat Jati,4.88
DRV-BB-00097,Pool Kramat Jati,4.85
DRV-BB-00098,Pool Ciputat,4.96
DRV-BB-00099,Pool Puri,4.9
DRV-BB-00100,Pool Kelapa Gading,4.64
DRV-BB-00101,Pool Kelapa Gading,4.84
DRV-BB-00102,Pool Puri,4.9
DRV-BB-00103,Pool Mampang,4.69
DRV-BB-00104,Pool Halim,4.65
DRV-BB-00105,Pool Ciputat,4.61
DRV-BB-00106,Pool Mampang,4.99
DRV-BB-00107,Pool BSD,4.83
DRV-BB-00108,Pool Halim,4.9
DRV-BB-00109,Pool Kelapa Gading,4.89
DRV-BB-00110,Pool Mampang,4.68
DRV-BB-00111,Pool Kelapa Gading,4.87
DRV-BB-00112,Pool Kelapa Gading,4.79
DRV-BB-00113,Pool Ciputat,4.68
DRV-BB-00114,Pool Kramat Jati,4.87
DRV-BB-00115,Pool Halim,4.76
DRV-BB-00116,Pool Halim,4.78
DRV-BB-00117,Pool Halim,4.93
DRV-BB-00118,Pool Mampang,4.85
DRV-BB-00119,Pool Kelapa Gading,4.82
DRV-BB-00120,Pool Ciputat,4.77
